finalist,year,winner_Nominee,item_award,award_description
Natasha Lyonne,1999,Nominee,Teen Choice Award,Film - Breakout Performance
Natasha Lyonne,2019,Nominee,TCA Award,Individual Achievement in Comedy
Natasha Lyonne,2020,Nominee,WGA Award (TV),Comedy Series
Natasha Lyonne,2000,Winner,Young Hollywood Award,Best Ensemble Cast
Glenn Weiss,2020,Nominee,Primetime Emmy,Outstanding Variety Special (Live)
Glenn Weiss,1993,Nominee,CableACE,Talk Show Special or Series
Glenn Weiss,2009,Nominee,Daytime Emmy,Outstanding Special Class Directing
Glenn Weiss,2020,Nominee,DGA Award,Outstanding Directorial Achievement in Variety/Talk/News/Sports - Specials
Glenn Weiss,2012,Nominee,PGA Award,Outstanding Producer of Live Entertainment & Talk Television
Laverne Cox,2020,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Laverne Cox,2014,Nominee,Critics' Choice TV Award,Best Supporting Actress in a Comedy Series
Laverne Cox,2015,Winner,Daytime Emmy,Outstanding Special Class Special
Laverne Cox,2014,Winner,Dorian Award,We're Wilde About You! Rising Star of the Year
Laverne Cox,2014,Winner,Stephen F. Kolzak Award,
Laverne Cox,2020,Nominee,Gold Derby TV Award,Drama Guest Actress
Laverne Cox,2017,Nominee,Image Award,Outstanding Supporting Actress in a Comedy Series
Laverne Cox,2013,Winner,Festival Prize,Best Supporting Actress in a Feature
Laverne Cox,2017,Nominee,OFTA Television Award,Best Guest Actress in a Drama Series
Laverne Cox,2016,Winner,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Gary Cole,2014,Nominee,Primetime Emmy,Outstanding Guest Actor in a Comedy Series
Gary Cole,2016,Nominee,BTVA Television Voice Acting Award,Best Vocal Ensemble in a New Television Series
Gary Cole,2014,Nominee,Canadian Screen Award,Best Performance by an Actor in a Leading Role in a Dramatic Program or Mini-Series
Gary Cole,2015,Winner,Best Actor,Best Actor
Gary Cole,2018,Winner,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Uzo Aduba,2016,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television"
Uzo Aduba,2020,Winner,Primetime Emmy,Outstanding Supporting Actress in a Limited Series or Movie
Uzo Aduba,2018,Nominee,BTVA Feature Film Voice Acting Award,Best Vocal Ensemble in a Feature Film
Uzo Aduba,2020,Nominee,Black Reel,"Outstanding Supporting Actress, TV Movie/Limited Series"
Uzo Aduba,2014,Winner,Critics' Choice TV Award,Best Guest Performer in a Comedy Series
Uzo Aduba,2020,Nominee,Dorian TV Award,Best Supporting TV Performance - Actress
Uzo Aduba,2015,Nominee,Gold Derby TV Award,Drama Supporting Actress
Uzo Aduba,2019,Nominee,Image Award,Outstanding Supporting Actress in a Comedy Series
Uzo Aduba,2020,Nominee,OFTA Television Award,Best Supporting Actress in a Motion Picture or Limited Series
Uzo Aduba,2013,Nominee,Satellite Award,"Best Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Uzo Aduba,2018,Nominee,Actor,Outstanding Performance by a Female Actor in a Comedy Series
Reg E. Cathey,2016,Nominee,Primetime Emmy,Outstanding Guest Actor in a Drama Series
Reg E. Cathey,2005,Nominee,Black Reel,"Best Supporting Actor, Network/Cable Television"
Reg E. Cathey,2017,Nominee,Black Reel,"Outstanding Supporting Actor, TV Movie/Limited Series"
Reg E. Cathey,2019,Nominee,Gold Derby TV Award,Drama Guest Actor of the Decade
Reg E. Cathey,2016,Nominee,OFTA Television Award,Best Guest Actor in a Drama Series
Kate Mara,2014,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Kate Mara,2015,Winner,CinemaCon Award,Ensemble Award
Kate Mara,2012,Nominee,GAFCA Award,Best Supporting Actress
Kate Mara,2014,Nominee,Gold Derby TV Award,Drama Guest Actress
Kate Mara,2016,Nominee,Grace Award,Most Inspiring Performance in Movies
Kate Mara,2014,Nominee,OFTA Television Award,Best Guest Actress in a Drama Series
Kate Mara,2016,Nominee,Razzie Award,Worst Screen Combo
Kate Mara,2015,Winner,Face of the Future,
Billy Porter,2020,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
Billy Porter,2020,Nominee,Primetime Emmy,Outstanding Lead Actor in a Drama Series
Billy Porter,2020,Nominee,BET Award,Best Actor
Billy Porter,2020,Nominee,Black Reel,"Outstanding Actor, Drama Series"
Billy Porter,2020,Nominee,Critics Choice Award,Best Actor in a Drama Series
Billy Porter,2020,Winner,Dorian Award,TV Performance of the Year - Actor
Billy Porter,2017,Winner,Vito Russo Award,
Billy Porter,2020,Nominee,Gold Derby TV Award,Drama Actor
Billy Porter,2019,Nominee,IGN Award,Best Dramatic TV Performance
Billy Porter,2020,Nominee,Image Award,Outstanding Actor in a Drama Series
Billy Porter,2020,Nominee,OFTA Television Award,Best Actor in a Drama Series
Billy Porter,2020,Nominee,Shorty Award,Best Actor
Billy Porter,2019,Nominee,TCA Award,Individual Achievement in Drama
Billy Porter,2020,Winner,Queerty,Badass
Matthew Rhys,2019,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
Matthew Rhys,2018,Winner,Primetime Emmy,Outstanding Lead Actor in a Drama Series
Matthew Rhys,2019,Nominee,BAFTA Cymru Award,Best Actor (Yr Actor Gorau)
Matthew Rhys,2019,Winner,Critics Choice Award,Best Actor in a Drama Series
Matthew Rhys,2016,Nominee,Critics' Choice TV Award,Best Actor in a Drama Series
Matthew Rhys,2019,Nominee,Dorian Award,TV Performance of the Year - Actor
Matthew Rhys,2019,Nominee,Gold Derby TV Award,Drama Actor of the Decade
Matthew Rhys,2018,Nominee,IGN Award,Best Dramatic TV Performance
Matthew Rhys,2018,Winner,OFTA Television Award,Best Actor in a Drama Series
Matthew Rhys,2019,Nominee,Satellite Award,"Best Actor in a Series, Drama/Genre"
Matthew Rhys,2019,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
Matthew Rhys,2018,Nominee,TCA Award,Individual Achievement in Drama
Rami Malek,2019,Winner,Oscar,Best Performance by an Actor in a Leading Role
Rami Malek,2020,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
Rami Malek,2016,Winner,Primetime Emmy,Outstanding Lead Actor in a Drama Series
Rami Malek,2019,Winner,BAFTA Film Award,Best Leading Actor
Rami Malek,2019,Winner,AACTA International Award,Best Lead Actor
Rami Malek,2019,Nominee,EDA Award,Best Actor
Rami Malek,2019,Nominee,AFCA Award,Best Actor
Rami Malek,2019,Nominee,ACCA,Best Actor in a Leading Role
Rami Malek,2019,Nominee,Critics Choice Award,Best Actor
Rami Malek,2018,Nominee,CFCA Award,Best Actor
Rami Malek,2019,Winner,CinEuphoria,Best Actor - Audience Award
Rami Malek,2016,Winner,Critics' Choice TV Award,Best Actor in a Drama Series
Rami Malek,2018,Nominee,DFWFCA Award,Best Actor
Rami Malek,2019,Nominee,DFCS Award,Best Actor
Rami Malek,2018,Nominee,DFCS Award,Best Actor
Rami Malek,2018,Nominee,DFCC,Best Actor
Rami Malek,2019,Nominee,Dorian Award,Film Performance of the Year - Actor
Rami Malek,2019,Nominee,GAFCA Award,Best Actor
Rami Malek,2019,Nominee,Gold Derby Award,Lead Actor
Rami Malek,2018,Winner,Golden Schmoes,Best Actor of the Year
Rami Malek,2019,Nominee,HFCS Award,Best Actor
Rami Malek,2019,Nominee,HFCS Award,Best Actor
Rami Malek,2018,Nominee,IGN Award,Best Lead Performer in a Movie
Rami Malek,2018,Nominee,ICP Award,Best Lead Actor
Rami Malek,2019,Winner,IFC Award,Best Actor
Rami Malek,2019,Nominee,LEJA Award,Best Performance by an Actor in a Leading Role
Rami Malek,2018,Winner,LAOFCS Award,Best Actor
Rami Malek,2019,Nominee,MTV Movie + TV Award,Best Performance in a Movie
Rami Malek,2019,Nominee,MCFCA Award,Best Actor
Rami Malek,2019,Nominee,NCFCA Award,Best Actor
Rami Malek,2018,Winner,NTFCA Award,Best Actor
Rami Malek,2018,Winner,OAFFC Award,Best Male Lead
Rami Malek,2019,Winner,OFTA Film Award,Best Actor
Rami Malek,2019,Winner,Breakthrough Performance Award,
Rami Malek,2017,Nominee,People's Choice Award,Favorite Cable TV Actor
Rami Malek,2018,Nominee,PCC Award,Best Actor
Rami Malek,2018,Nominee,SDFCS Award,Breakthrough Artist
Rami Malek,2018,Nominee,SFFCC Award,Best Actor
Rami Malek,2019,Winner,Outstanding Performance Award,
Rami Malek,2019,Winner,Satellite Award,"Best Actor in a Motion Picture, Comedy or Musical"
Rami Malek,2019,Winner,Actor,Outstanding Performance by a Male Actor in a Leading Role
Rami Malek,2018,Nominee,Seattle Film Critics Award,Best Actor
Rami Malek,2018,Nominee,SLFCA Award,Best Actor
Rami Malek,2019,Nominee,Teen Choice Award,Choice Drama Movie Actor
Rami Malek,2016,Nominee,TCA Award,Individual Achievement in Drama
Rami Malek,2018,Nominee,WAFCA Award,Best Actor
Jeff Goldblum,1996,Nominee,Oscar,"Best Short Film, Live Action"
Jeff Goldblum,2020,Nominee,Primetime Emmy,Outstanding Hosted Nonfiction Series or Special
Jeff Goldblum,1997,Nominee,Saturn Award,Best Actor
Jeff Goldblum,2017,Nominee,EDA Special Mention Award,Most Egregious Age Difference Between the Leading Man and the Love Interest
Jeff Goldblum,1998,Nominee,Blockbuster Entertainment Award,Favorite Actor - Sci-Fi
Jeff Goldblum,2004,Nominee,BSFC Award,Best Ensemble Cast
Jeff Goldblum,2013,Nominee,British Independent Film Award,Best Supporting Actor
Jeff Goldblum,2005,Nominee,Critics Choice Award,Best Acting Ensemble
Jeff Goldblum,1989,Nominee,ACE,Actor in a Movie or Miniseries
Jeff Goldblum,2015,Winner,COFCA Award,Best Ensemble
Jeff Goldblum,1993,Nominee,CFCA Award,Best Supporting Actor
Jeff Goldblum,1996,Nominee,Gold Hugo,Best Short Film
Jeff Goldblum,2016,Winner,CinemaCon Award,Ensemble of the Universe
Jeff Goldblum,2017,Winner,Special Achievement Award,
Jeff Goldblum,2014,Winner,DFCS Award,Best Ensemble
Jeff Goldblum,1993,Winner,Chainsaw Award,Best Supporting Actor
Jeff Goldblum,1993,Nominee,Independent Spirit Award,Best Supporting Male
Jeff Goldblum,2014,Winner,FFCC Award,Best Ensemble
Jeff Goldblum,1983,Nominee,Genie,Best Performance by a Foreign Actor
Jeff Goldblum,2015,Winner,GAFCA Award,Best Ensemble
Jeff Goldblum,2020,Nominee,Gold Derby Award,Ensemble of the Decade
Jeff Goldblum,2019,Nominee,LEJA Award,Best Voice or Motion Capture Performance
Jeff Goldblum,1987,Nominee,NSFC Award,Best Actor
Jeff Goldblum,1986,Nominee,NYFCC Award,Best Actor
Jeff Goldblum,1997,Nominee,OFTA Film Award,Best Sci-Fi/Fantasy/Horror Actor
Jeff Goldblum,2014,Nominee,PFCS Award,Best Ensemble Acting
Jeff Goldblum,2014,Nominee,SDFCS Award,Best Ensemble
Jeff Goldblum,2015,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
Jeff Goldblum,1990,Winner,Best Actor,
Jeff Goldblum,2014,Winner,SEFCA Award,Best Ensemble
Jeff Goldblum,2014,Nominee,VVFP Award,Best Supporting Actor
Jeff Goldblum,2018,Winner,Star on the Walk of Fame,Motion Picture
Jeff Goldblum,2014,Nominee,WAFCA Award,Best Acting Ensemble
Camryn Manheim,2006,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Camryn Manheim,2005,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Camryn Manheim,2005,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actress
Camryn Manheim,1998,Winner,NBR Award,Best Acting by an Ensemble
Camryn Manheim,2005,Winner,OFTA Television Award,Best Supporting Actress in a Motion Picture or Miniseries
Camryn Manheim,2005,Nominee,Satellite Award,"Outstanding Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television"
Camryn Manheim,2001,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
Camryn Manheim,1999,Nominee,TCA Award,Individual Achievement in Drama
Camryn Manheim,2000,Nominee,Q Award,Best Supporting Actress in a Quality Drama Series
Camryn Manheim,1999,Winner,Lucy Award,
Joanne Woodward,1991,Nominee,Oscar,Best Actress in a Leading Role
Joanne Woodward,2006,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Joanne Woodward,2005,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Joanne Woodward,1975,Winner,BAFTA Film Award,Best Actress
Joanne Woodward,1973,Winner,Best Actress,
Joanne Woodward,1991,Nominee,CFCA Award,Best Actress
Joanne Woodward,2017,Winner,CinEuphoria,Career - Honorary Award
Joanne Woodward,1991,Nominee,David,Best Foreign Actress (Migliore Attrice Straniera)
Joanne Woodward,1972,Winner,Golden Moon Award,Best Actress
Joanne Woodward,1991,Nominee,Independent Spirit Award,Best Female Lead
Joanne Woodward,1975,Winner,Gala Tribute,
Joanne Woodward,2005,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actress
Joanne Woodward,1976,Winner,Golden Apple,Female Star of the Year
Joanne Woodward,1959,Winner,Woman of the Year,
Joanne Woodward,1990,Winner,KCFCC Award,Best Actress
Joanne Woodward,1971,Nominee,Golden Laurel,"Star, Female"
Joanne Woodward,1990,Nominee,LAFCA Award,Best Actress
Joanne Woodward,1957,Winner,NBR Award,Best Actress
Joanne Woodward,1991,Nominee,NSFC Award,Best Actress
Joanne Woodward,1990,Winner,NYFCC Award,Best Actress
Joanne Woodward,2020,Winner,OFTA Film Hall of Fame,Acting
Joanne Woodward,1969,Winner,Showmanship Award,Motion Picture
Joanne Woodward,1960,Winner,Zulueta Prize,Best Actress
Joanne Woodward,2006,Nominee,Actor,Outstanding Performance by a Female Actor in a Television Movie or Miniseries
Joanne Woodward,1992,Winner,Kennedy Center Honors,
Joanne Woodward,2006,Nominee,TV Land Award,Blockbuster Movie of the Week
Joanne Woodward,1960,Winner,Star on the Walk of Fame,Motion Picture
Sterling K. Brown,2018,Winner,Golden Globe,Best Performance by an Actor in a Television Series - Drama
Sterling K. Brown,2020,Nominee,Primetime Emmy,Outstanding Lead Actor in a Drama Series
Sterling K. Brown,2019,Winner,AAFCA Award,Best Performance - Male
Sterling K. Brown,2013,Nominee,Best Performance by an Actor,
Sterling K. Brown,2018,Nominee,BET Award,Best Actor
Sterling K. Brown,2020,Nominee,Black Reel,"Outstanding Supporting Actor, Motion Picture"
Sterling K. Brown,2020,Winner,Black Reel,"Outstanding Actor, Drama Series"
Sterling K. Brown,2020,Nominee,Critics Choice Award,Best Actor in a Drama Series
Sterling K. Brown,2016,Winner,Critics' Choice TV Award,Best Supporting Actor in a Movie Made for Television or Limited Series
Sterling K. Brown,2018,Nominee,Dorian Award,TV Performance of the Year - Actor
Sterling K. Brown,2019,Winner,Gold Derby TV Award,TV Movie/Mini Supporting Actor of the Decade
Sterling K. Brown,2020,Nominee,HCA Award,Best Supporting Actor
Sterling K. Brown,2020,Nominee,Image Award,Outstanding Character Voice-Over Performance (Television or Motion Picture)
Sterling K. Brown,2019,Nominee,OAFFC Award,Best Supporting Male
Sterling K. Brown,2020,Nominee,OFTA Television Award,Best Actor in a Drama Series
Sterling K. Brown,2019,Nominee,People's Choice Award,Favorite Male TV Star
Sterling K. Brown,2020,Nominee,Actor,Outstanding Performance by a Male Actor in a Drama Series
Sterling K. Brown,2019,Nominee,Teen Choice Award,Choice TV Actor: Drama
Sterling K. Brown,2017,Nominee,TCA Award,Individual Achievement in Drama
Charlize Theron,2020,Nominee,Oscar,Best Performance by an Actress in a Leading Role
Charlize Theron,2020,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Charlize Theron,2005,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Charlize Theron,2020,Nominee,BAFTA Film Award,Best Leading Actress
Charlize Theron,2020,Nominee,AACTA International Award,Best Lead Actress
Charlize Theron,2016,Winner,Saturn Award,Best Actress
Charlize Theron,2019,Nominee,EDA Special Mention Award,Bravest Performance
Charlize Theron,2015,Nominee,AFCA Award,Best Actress
Charlize Theron,2015,Nominee,AACTA Award,Best Lead Actress
Charlize Theron,2016,Nominee,AFCA Award,Best Actress
Charlize Theron,2015,Nominee,ACCA,Best Actress in a Leading Role
Charlize Theron,2000,Winner,Bambi,Shooting Star: Female
Charlize Theron,2017,Winner,BTVA Feature Film Voice Acting Award,Best Vocal Ensemble in a Feature Film
Charlize Theron,2004,Winner,Silver Berlin Bear,Best Actress
Charlize Theron,2001,Nominee,Blockbuster Entertainment Award,Favorite Actress - Drama/Romance
Charlize Theron,2020,Nominee,Critics Choice Award,Best Actress
Charlize Theron,2004,Winner,Krzysztof Kieslowski Award,
Charlize Theron,2016,Nominee,COFCA Award,Best Actress
Charlize Theron,2015,Nominee,CFCA Award,Best Actress
Charlize Theron,2019,Winner,CinemaCon Award,Comedy Stars of the Year
Charlize Theron,2019,Nominee,CinEuphoria,Best Actress - International Competition
Charlize Theron,2007,Winner,Half-Life Award,
Charlize Theron,2020,Winner,Spotlight Award,
Charlize Theron,2019,Nominee,DFWFCA Award,Best Actress
Charlize Theron,2016,Nominee,DFCS Award,Best Actress
Charlize Theron,2019,Nominee,DFCS Award,Best Actress
Charlize Theron,2018,Nominee,DFCC,Best Actress
Charlize Theron,2005,Winner,Icon Award,
Charlize Theron,2016,Nominee,Empire Award,Best Actress
Charlize Theron,1998,Nominee,Chainsaw Award,Best Supporting Actress
Charlize Theron,2016,Nominee,FCCA Award,Best Actress
Charlize Theron,2004,Winner,Independent Spirit Award,Best First Feature
Charlize Theron,2019,Nominee,FFCC Award,Best Actress
Charlize Theron,2016,Nominee,GAFCA Award,Best Actress
Charlize Theron,2006,Winner,Vanguard Award,
Charlize Theron,2016,Nominee,Gold Derby Award,Lead Actress
Charlize Theron,2006,Winner,Golden Camera,Best International Actress
Charlize Theron,2017,Nominee,Golden Schmoes,Best T&A of the Year
Charlize Theron,2011,Winner,Tribute Award,
Charlize Theron,2008,Winner,Woman of the Year,
Charlize Theron,2020,Nominee,HFCS Award,Best Actress
Charlize Theron,2020,Nominee,HCA Award,Best Actress
Charlize Theron,2005,Winner,Hollywood Film Award,Actress of the Year
Charlize Theron,2020,Nominee,HFCS Award,Best Actress
Charlize Theron,2015,Nominee,ICP Award,Best Lead Actress
Charlize Theron,2004,Nominee,ICS Award,Best Actress
Charlize Theron,2018,Nominee,Halfway Award,Best Actress
Charlize Theron,2010,Winner,IOFCP Award,Best Actress of the Decade
Charlize Theron,2004,Nominee,Audience Award,Best International Actress
Charlize Theron,2012,Nominee,IOMA,Best Actress (Miglior attrice protagonista)
Charlize Theron,2019,Winner,Jupiter Award,Best International Actress
Charlize Theron,2015,Winner,KCFCC Award,Best Actress
Charlize Theron,2017,Nominee,Blimp Award,Favorite Villain
Charlize Theron,2004,Winner,Sierra Award,Best Actress
Charlize Theron,2019,Nominee,Leo,Best Motion Picture
Charlize Theron,2020,Nominee,ALFS Award,Actress of the Year
Charlize Theron,2004,Nominee,LAFCA Award,Best Actress
Charlize Theron,2006,Winner,Spirit of Independence Award,
Charlize Theron,2018,Nominee,LAOFCS Award,Best Actress
Charlize Theron,2005,Winner,Best Actress,Feature Film
Charlize Theron,2018,Nominee,MTV Movie + TV Award,Best Fight
Charlize Theron,2020,Nominee,MCFCA Award,Best Actress
Charlize Theron,2003,Winner,NBR Award,Breakthrough Performance by an Actress
Charlize Theron,2004,Winner,NSFC Award,Best Actress
Charlize Theron,2019,Winner,NFCS Award,Best Actress
Charlize Theron,2003,Nominee,NYFCC Award,Best Actress
Charlize Theron,2003,Winner,NYFCO Award,Best Actress
Charlize Theron,2020,Nominee,NCFCA Award,Best Actress
Charlize Theron,2019,Winner,NTFCA Award,Best Actress
Charlize Theron,2004,Nominee,NRJ Ciné Award,Most Glamorous Actress (Actrice la plus glamour)
Charlize Theron,2018,Nominee,OAFFC Award,Best Female Lead
Charlize Theron,2005,Winner,OFTA Television Award,Best Guest Actress in a Comedy Series
Charlize Theron,2015,Nominee,OFCS Award,Best Actress
Charlize Theron,2020,Winner,International Star Award,
Charlize Theron,2016,Nominee,People's Choice Award,Favorite Action Movie Actress
Charlize Theron,2015,Nominee,PFCS Award,Best Actress in a Leading Role
Charlize Theron,2015,Nominee,Razzie Award,Worst Actress
Charlize Theron,2015,Nominee,SDFCS Award,Best Actress
Charlize Theron,2019,Nominee,SFFCC Award,Best Actress
Charlize Theron,2016,Nominee,Sant Jordi,Best Actress in a Foreign Film (Mejor Actriz en Película Extranjera)
Charlize Theron,2004,Winner,Outstanding Performer of the Year Award,
Charlize Theron,2019,Nominee,Satellite Award,"Best Actress in a Motion Picture, Drama"
Charlize Theron,2020,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
Charlize Theron,2003,Nominee,Seattle Film Critics Award,Best Actress
Charlize Theron,2005,Winner,VGA,Best Performance by a Human Female
Charlize Theron,2019,Nominee,SLFCA Award,Best Actress
Charlize Theron,2017,Nominee,Teen Choice Award,Choice Movie Villain
Charlize Theron,2005,Nominee,Stinker Award,Worst Actress
Charlize Theron,2003,Winner,UFCA Award,Best Actress
Charlize Theron,2006,Nominee,VFCC Award,Best Actress
Charlize Theron,2015,Nominee,VVFP Award,Best Actress
Charlize Theron,2005,Winner,Star on the Walk of Fame,Motion Picture
Charlize Theron,2015,Nominee,WAFCA Award,Best Actress
Charlize Theron,2017,Nominee,Courage in Acting Award,
Tyler Perry,2020,Winner,Governor's Award,
Tyler Perry,2009,Winner,Movies for Grownups Award,Best Buddy Picture
Tyler Perry,2014,Nominee,Hollywood Award,Artist of the Year
Tyler Perry,2014,Winner,AAFCA Award,Best Supporting Actor
Tyler Perry,2009,Nominee,EDA Award,Best Picture
Tyler Perry,2019,Winner,BET Award,Ultimate Icon
Tyler Perry,2005,Winner,BET Comedy Award,Outstanding Lead Actor in a Theatrical Film
Tyler Perry,2013,Winner,Pioneer Award,
Tyler Perry,2006,Nominee,Black Movie Award,Outstanding Achievement in Screenwriting
Tyler Perry,2015,Nominee,Black Reel,"Outstanding Supporting Actor, Motion Picture"
Randy Quaid,1974,Nominee,Oscar,Best Actor in a Supporting Role
Randy Quaid,2006,Nominee,Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Randy Quaid,2005,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
Tyler Perry,2009,Winner,BSFC Award,Best Ensemble Cast
Tyler Perry,2015,Nominee,COFCA Award,Best Ensemble
Tyler Perry,2011,Winner,CinemaCon Award,Visionary Award
Tyler Perry,2015,Nominee,GAFCA Award,Best Ensemble
Tyler Perry,2015,Nominee,Gold Derby Award,Ensemble Cast
Tyler Perry,2020,Nominee,Entertainer of the Year Award,
Tyler Perry,2014,Nominee,ICP Award,Best Supporting Actor
Tyler Perry,2010,Nominee,Blimp Award,Favorite Movie Actor
Tyler Perry,2017,Nominee,Grace Award,Most Inspiring Performance in Movies
Tyler Perry,2006,Nominee,MTV Movie Award,Best Comedic Performance
Tyler Perry,2020,Nominee,Razzie Award,Worst Supporting Actor
Randy Quaid,1975,Nominee,BAFTA Film Award,Best Supporting Actor
Randy Quaid,2005,Nominee,ACCA,Best Cast Ensemble
Randy Quaid,2006,Nominee,COFCA Award,Best Ensemble
Randy Quaid,1993,Nominee,Chainsaw Award,Best Supporting Actor
Randy Quaid,1989,Winner,Best Actor,
Randy Quaid,1990,Nominee,Independent Spirit Award,Best Male Lead
Randy Quaid,2006,Nominee,Gold Derby Award,Ensemble Cast
Randy Quaid,2005,Nominee,Gotham Independent Film Award,Best Ensemble Performance
Randy Quaid,2019,Nominee,Best Supporting Actor,Best Supporting Actor
Randy Quaid,2018,Nominee,Festival Award,Best Supporting Actor in a Feature Film
Randy Quaid,2005,Nominee,OFTA Television Award,Best Supporting Actor in a Motion Picture or Miniseries
Randy Quaid,1988,Winner,Peabody Award,Winner
Randy Quaid,2005,Winner,Satellite Award,"Outstanding Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television"
Randy Quaid,2006,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
Randy Quaid,2002,Nominee,Stinker Award,Worst Supporting Actor
Tyler Perry,2005,Winner,Stinker Award,Worst Supporting Actor
Tyler Perry,2014,Nominee,VVFP Award,Best Supporting Actor
Tyler Perry,2019,Winner,Star on the Walk of Fame,Motion Picture
Randy Quaid,2009,Winner,VFCC Award,Best Supporting Actor in a Canadian Film
Randy Quaid,2003,Winner,Star on the Walk of Fame,Motion Picture
Randy Quaid,2000,Winner,Bronze Wrangler,Television Feature Film
Jane Alexander,1984,Nominee,Oscar,Best Actress in a Leading Role
Jane Alexander,1984,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Jane Alexander,2005,Winner,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Jane Alexander,2013,Winner,ACTRA Maritimes Award,Outstanding Performance - Female
Jane Alexander,1989,Nominee,ACE,Supporting Actress in a Movie or Miniseries
Jane Alexander,2015,Nominee,Canadian Screen Award,Best Performance by an Actress in a Featured Supporting Role in a Dramatic Program or Series
Jane Alexander,2005,Nominee,Daytime Emmy,Outstanding Performer in a Children/Youth/Family Special
Jane Alexander,2005,Winner,Faith Hubley 'Web of Life' Award,
Jane Alexander,1971,Nominee,Golden Laurel,"Star of Tomorrow, Female"
Jane Alexander,1983,Nominee,LAFCA Award,Best Actress
Jane Alexander,1980,Nominee,NSFC Award,Best Supporting Actress
Jane Alexander,1979,Nominee,NYFCC Award,Best Supporting Actress
Jane Alexander,1993,Winner,Muse Award,
Jane Alexander,2014,Nominee,OFTA Television Award,Best Guest Actress in a Drama Series
Jane Alexander,2017,Winner,Master of Cinema,
Jane Alexander,2005,Nominee,Satellite Award,"Outstanding Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television"
Jane Alexander,2000,Nominee,Actor,Outstanding Performance by a Cast in a Theatrical Motion Picture
Jane Alexander,1985,Winner,Bronze Wrangler,Fictional Television Drama
Jane Alexander,1996,Winner,Humanitarian Award,
Philip Seymour Hoffman,2013,Nominee,Oscar,Best Performance by an Actor in a Supporting Role
Philip Seymour Hoffman,2013,Nominee,Golden Globe,Best Performance by an Actor in a Supporting Role in a Motion Picture
Philip Seymour Hoffman,2005,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
Philip Seymour Hoffman,2013,Nominee,BAFTA Film Award,Best Supporting Actor
Philip Seymour Hoffman,2018,Winner,Felix,Best Supporting Actor
Philip Seymour Hoffman,2007,Nominee,Saturn Award,Best Supporting Actor
Philip Seymour Hoffman,2013,Winner,EDA Award,Best Supporting Actor
Philip Seymour Hoffman,2006,Winner,AFCA Award,Best Actor
Philip Seymour Hoffman,2012,Winner,ACCA,Best Actor in a Supporting Role
Philip Seymour Hoffman,2001,Nominee,Blockbuster Entertainment Award,Favorite Supporting Actor - Drama/Romance
Philip Seymour Hoffman,2005,Winner,BSFC Award,Best Actor
Philip Seymour Hoffman,2013,Winner,Critics Choice Award,Best Supporting Actor
Philip Seymour Hoffman,2013,Nominee,COFCA Award,Best Supporting Actor
Philip Seymour Hoffman,2012,Winner,CFCA Award,Best Supporting Actor
Philip Seymour Hoffman,2013,Nominee,Chlotrudis Award,Best Supporting Actor
Philip Seymour Hoffman,2012,Nominee,DFWFCA Award,Best Supporting Actor
Philip Seymour Hoffman,2010,Nominee,Daytime Emmy,Outstanding Performer in an Animated Program
Philip Seymour Hoffman,2013,Winner,DFCS Award,Best Supporting Actor
Philip Seymour Hoffman,2012,Nominee,DFCS Award,Best Supporting Actor
